STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMIN,TMAX,PRCP,SNOW
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/5/50,29,64,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/6/50,28,60,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/7/50,37,60,0.09,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/8/50,40,51,0.14,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/9/50,24,45,0.05,0.5
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/10/50,18,53,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/11/50,20,60,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/12/50,28,61,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/13/50,25,61,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/14/50,29,53,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/15/50,27,54,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/16/50,24,65,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/17/50,25,72,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/18/50,37,72,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/19/50,30,71,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/20/50,25,74,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/21/50,29,74,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/22/50,37,68,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/23/50,28,64,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/24/50,29,66,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/25/50,24,67,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/26/50,35,67,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/27/50,30,64,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/28/50,38,57,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/29/50,34,60,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,4/30/50,26,63,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/1/50,27,62,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/2/50,41,59,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/3/50,39,55,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/4/50,23,41,0.35,3.1
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/5/50,18,55,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/6/50,20,57,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/7/50,37,55,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/8/50,23,55,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/9/50,20,60,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/10/50,33,64,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/11/50,22,65,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/12/50,28,65,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/13/50,29,66,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/14/50,30,64,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/15/50,29,70,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/16/50,36,74,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/17/50,33,66,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/18/50,31,67,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/19/50,27,70,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/20/50,30,73,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/21/50,30,75,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/22/50,31,77,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/23/50,35,69,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/24/50,27,70,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/25/50,35,69,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/26/50,33,71,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/27/50,27,76,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/28/50,39,74,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/29/50,39,78,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/30/50,36,80,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,5/31/50,39,82,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/1/50,38,79,0.06,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/2/50,41,76,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/3/50,41,72,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/4/50,39,77,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/5/50,30,79,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/6/50,39,71,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/7/50,37,63,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/8/50,24,69,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/9/50,24,75,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/10/50,29,77,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/11/50,33,76,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/12/50,44,74,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/13/50,34,75,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/14/50,32,76,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/15/50,32,77,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/16/50,32,78,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/17/50,29,77,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/18/50,30,82,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/19/50,40,80,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/20/50,41,82,0,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/21/50,37,82,0.07,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/22/50,53,71,0.24,0
USW00003103,"FLAGSTAFF PULLIAM AIRPORT, AZ US",35.1441,-111.6663,2134.5,6/23/50,48,69,0,0
